_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Norman,Oklahoma,35.222572,-97.439482,University of Oklahoma College of Law,Public,Full ABA,Cleveland County,
Charlotte,North Carolina,35.227087,-80.843127,Charlotte School of Law,Private,Full ABA,Mecklenburg County,
Oklahoma City,Oklahoma,35.472989,-97.517054,Oklahoma City University School of Law,Private,Full ABA,Oklahoma County,
Raleigh,North Carolina,35.780402,-78.639078,"Norman Adrian Wiggins School of Law, Campbell University",Private,Full ABA,Wake County,
Chapel Hill,North Carolina,35.9132,-79.055844,University of North Carolina School of Law,Public,Full ABA,Orange County,
Knoxville,Tennessee,35.957701,-83.929505,University of Tennessee College of Law,Public,Full ABA,Knox County,"1505 Cumberland Ave, Knoxville, TN 37916"
Durham,North Carolina,35.972194,-78.897669,North Carolina Central University School of Law,Public,Full ABA,Durham County,"640 Nelson St, Durham, NC 27707"
Durham,North Carolina,35.995462,-78.946847,Duke University School of Law,Private,Full ABA,Durham County,"210 Science Dr, Durham, NC 27708"
Fayetteville,Arkansas,36.062584,-94.157433,University of Arkansas School of Law,Public,Full ABA,Washington County,
Greensboro,North Carolina,36.072636,-79.791975,Elon University School of Law,Private,Full ABA,Guilford County,
Winston-Salem,North Carolina,36.099817,-80.244144,Wake Forest University School of Law,Private,Full ABA,Forsyth County,
Tulsa,Oklahoma,36.155681,-95.992911,University of Tulsa College of Law,Private,Full ABA,Tulsa County,
Las Vegas,Nevada,36.166286,-115.149225,"William S. Boyd School of Law, University of Nevada, Las Vegas",Public,Full ABA,Clark County,
Virginia Beach,Virginia,36.718371,-76.24668,Regent University School of Law,Private,Full ABA,Chesapeake city,
Williamsburg,Virginia,37.270703,-76.70745,"Marshall-Wythe School of Law, The College of William and Mary",Public,Full ABA,York County,
Grundy,Virginia,37.277889,-82.099022,Appalachian School of Law,Private,Full ABA,Buchanan County,
Santa Clara,California,37.354113,-121.955174,Santa Clara University School of Law,Private,Full ABA,Santa Clara County,
Lynchburg,Virginia,37.40088,-79.184492,Liberty University School of Law,Private,Full ABA,Lynchburg city,
Stanford,California,37.426565,-122.170188,Stanford Law School,Private,Full ABA,Santa Clara County,
Richmond,Virginia,37.538509,-77.43428,University of Richmond School of Law,Private,Full ABA,Richmond city,
Carbondale,Illinois,37.727469,-89.216655,Southern Illinois University School of Law,Public,Full ABA,Jackson County,
San Francisco,California,37.776569,-122.453889,University of San Francisco School of Law,Private,Full ABA,San Francisco County,"2130 Fulton St, San Francisco, CA 94117"
San Francisco,California,37.781304,-122.415821,"University of California, Hastings College of the Law",Public,Full ABA,San Francisco County,"200 McAllister St, San Francisco, CA 94102"
Lexington,Virginia,37.784021,-79.442816,Washington and Lee University School of Law,Private,Full ABA,Lexington city,
San Francisco,California,37.78916,-122.398485,Golden Gate University School of Law,Private,Full ABA,San Francisco County,"536 Mission St, San Francisco, CA 94105"
Berkeley,California,37.870839,-122.272864,"University of California, Berkeley School of Law (Boalt Hall)",Public,Full ABA,Alameda County,
Lexington,Kentucky,38.046407,-84.497039,University of Kentucky College of Law,Public,Full ABA,Fayette County,
