geo_id,tot_pop
0500000US13129,55214
0500000US13131,25060
0500000US13133,16006
0500000US13135,808719
0500000US13137,43080
0500000US13139,180253
0500000US13141,9391
0500000US13143,28774
0500000US13145,32167
0500000US13147,25217
0500000US13149,11854
0500000US13151,205265
0500000US13153,140713
0500000US13155,9528
0500000US13157,60706
0500000US13159,13926
0500000US13161,15091
0500000US13163,16884
0500000US13165,8345
0500000US13167,9971
0500000US13169,28634
0500000US13171,18335
0500000US13173,10126
0500000US13175,48439
0500000US13177,28397
0500000US13179,62819
0500000US13181,7966
0500000US13183,14644
0500000US13185,109734
0500000US13187,29998
0500000US13189,21876
0500000US13191,14271
0500000US13193,14662
0500000US13195,28167
0500000US13197,8753
0500000US13199,21849
0500000US13201,6123
0500000US13205,23500
0500000US13207,26467
0500000US13209,9116
0500000US13211,17862
0500000US13213,39559
0500000US13215,190417
0500000US13217,100086
0500000US13219,32984
0500000US13221,14919
0500000US13223,142741
0500000US13225,27741
0500000US13227,29436
0500000US13229,18818
0500000US13231,17905
0500000US13233,41523
0500000US13235,11991
0500000US13237,21205
0500000US13239,2521
0500000US13241,16280
0500000US13243,7696
0500000US13245,201005
0500000US13247,85434
0500000US13249,5010
0500000US13251,14500
0500000US13253,8727
0500000US13255,64081
0500000US13257,26193
0500000US13259,6053
0500000US13261,32816
0500000US13263,6844
0500000US13265,1698
0500000US13267,25585
0500000US13269,8911
0500000US13271,16497
0500000US13273,9321
0500000US13275,44769
0500000US13277,40339
0500000US13279,27297
0500000US13281,10488
0500000US13283,6876
0500000US13285,67187
0500000US13287,8950
0500000US13289,8968
0500000US13291,21342
0500000US13293,27087
0500000US13295,68761
0500000US13297,84004
0500000US13299,36340
0500000US13301,5804
0500000US13303,21156
0500000US13305,30115
0500000US13307,2789
0500000US13309,7423
0500000US13311,27168
0500000US13313,102934
0500000US13315,9270
0500000US13317,10590
0500000US13319,9540
0500000US13321,21630
0500000US15001,185406
0500000US15003,955775
0500000US15005,90
0500000US15007,67226
0500000US15009,155124
0500000US16001,393531
0500000US16003,3953
0500000US16005,83071
0500000US16007,5971
0500000US16009,9285
0500000US16011,45769
0500000US16013,21326
0500000US16015,7032
0500000US16017,40915
0500000US16019,104592
0500000US16021,11026
0500000US16023,2907
0500000US16025,1109
0500000US16027,189428
0500000US16029,6977
0500000US16031,23088
0500000US16033,988
0500000US16035,8740
0500000US16037,4366
0500000US16039,27123
0500000US16041,12794
0500000US16043,13251
0500000US16045,16675
0500000US16047,15503
0500000US16049,16291
0500000US16051,26236
0500000US16053,22469
0500000US16055,138901
0500000US16057,37334
0500000US16059,7957
0500000US16061,3816
0500000US16063,5211
0500000US16065,37623
0500000US16067,20112
0500000US16069,39339
0500000US16071,4298
0500000US16073,11512
0500000US16075,22621
0500000US16077,7879
0500000US16079,12729
0500000US16081,10193
0500000US16083,77517
0500000US16085,9787
0500000US16087,10205
0500000US17001,67120
0500000US17003,8209
0500000US17005,17778
0500000US17007,54160
0500000US17009,6919
0500000US17011,34941
0500000US17013,5088
0500000US17015,15361
0500000US17017,13646
0500000US17019,201332
0500000US17021,34786
0500000US17023,16309
0500000US17025,13802
0500000US17027,37833
0500000US17029,53924
0500000US17031,5200950
0500000US17033,19794
0500000US17035,11041
0500000US17037,105201
0500000US17039,16556
0500000US17041,19970
0500000US17043,918764
0500000US17045,18530
0500000US17047,6729
0500000US17049,34234
0500000US17051,22125
0500000US17053,14075
0500000US17055,39578
0500000US17057,37050
0500000US17059,5576
0500000US17061,13866
0500000US17063,50144
0500000US17065,8449
0500000US17067,19090
0500000US17069,4312
0500000US17071,7326
0500000US17073,50438
0500000US17075,29660
0500000US17077,60361
0500000US17079,9691
0500000US17081,38806
0500000US17083,22944
0500000US17085,22655
0500000US17087,12591
0500000US17089,516499
0500000US17091,113502
0500000US17093,115304
0500000US17095,52919
0500000US17097,704596
0500000US17099,113840
0500000US17101,16825
0500000US17103,35941
0500000US17105,38878
0500000US17107,30286
0500000US17109,32609
0500000US17111,309192
0500000US17113,169832
0500000US17115,110715
0500000US17117,47808
0500000US17119,269271
0500000US17121,39417
0500000US17123,12629
0500000US17125,14625
0500000US17127,15414
0500000US17129,12695
0500000US17131,16426
0500000US17133,32990
0500000US17135,30076
0500000US17137,35510
0500000US17139,14853
0500000US17141,53477
0500000US17143,186311
0500000US17145,22343
0500000US17147,16705
0500000US17149,16408
0500000US17151,4471
0500000US17153,6157
0500000US17155,6007
0500000US17157,33437
0500000US17159,16215
0500000US17161,147517
0500000US17163,270419
0500000US17165,24932
0500000US17167,197822
0500000US17169,7543
0500000US17171,5342
0500000US17173,22335
0500000US17175,5977
0500000US17177,47649
0500000US17179,135433
0500000US17181,17775
0500000US17183,81551
0500000US17185,11914
0500000US17187,17702
0500000US17189,14698
0500000US17191,16734
0500000US17193,14626
0500000US17195,58448
0500000US17197,678697
0500000US17199,66369
0500000US17201,295127
0500000US17203,38659
0500000US18001,34396
0500000US18003,355856
0500000US18005,76855
0500000US18007,8888
0500000US18009,12747
0500000US18011,56891
0500000US18013,15218
0500000US18015,20162
0500000US18017,38965
0500000US18019,110610
0500000US18021,26876
0500000US18023,33234
0500000US18025,10726
0500000US18027,31716
0500000US18029,50100
0500000US18031,25772
0500000US18033,42285
0500000US18035,117669
0500000US18037,41875
0500000US18039,197646
0500000US18041,24282
0500000US18043,74679
0500000US18045,17249
0500000US18047,23047
0500000US18049,20844
0500000US18051,33537
0500000US18053,69975
0500000US18055,33205
0500000US18057,276390
0500000US18059,70250
0500000US18061,39394
0500000US18063,145867
0500000US18065,49476
0500000US18067,82770
0500000US18069,37109
0500000US18071,42587
0500000US18073,33529
0500000US18075,21196
0500000US18077,32394
0500000US18079,28500
0500000US18081,140009
0500000US18083,38405
0500000US18085,77368
0500000US18087,37134
0500000US18089,495981
0500000US18091,111465
0500000US18093,46124
0500000US18095,131642
0500000US18097,904878
0500000US18099,47020
0500000US18101,10338
0500000US18103,36800
0500000US18105,138422
0500000US18107,38096
0500000US18109,69061
0500000US18111,14243
0500000US18113,47541
0500000US18115,6119
0500000US18117,19800
0500000US18119,21572
0500000US18121,17332
0500000US18123,19327
0500000US18125,12831
0500000US18127,164592
0500000US18129,25903
0500000US18131,13351
0500000US18133,37906
0500000US18135,26133
0500000US18137,28814
0500000US18139,17358
0500000US18141,266961
0500000US18143,24174
0500000US18145,44391
0500000US18147,20908
0500000US18149,23372
0500000US18151,34165
0500000US18153,21469
0500000US18155,10615
0500000US18157,172963
0500000US18159,15895
0500000US18161,7520
0500000US18163,179833
0500000US18165,16148
0500000US18167,107958
0500000US18169,32826
0500000US18171,8501
0500000US18173,59835
0500000US18175,28290
0500000US18177,68853
0500000US18179,27642
0500000US18181,24635
0500000US18183,33335
0500000US19001,7675
0500000US19003,4019
0500000US19005,14355
0500000US19007,12877
0500000US19009,6107
0500000US19011,26073
0500000US19013,131221
0500000US19015,26281
0500000US19017,24289
0500000US19019,20936
0500000US19021,20332
0500000US19023,14911
0500000US19025,9662
0500000US19027,20838
0500000US19029,13952
0500000US19031,18501
0500000US19033,44104
0500000US19035,12095
0500000US19037,12416
0500000US19039,9300
0500000US19041,16650
0500000US19043,18087
0500000US19045,49093
0500000US19047,17132
0500000US19049,66616
0500000US19051,8765
0500000US19053,8433
0500000US19055,17751
0500000US19057,40318
0500000US19059,16667
0500000US19061,93880
0500000US19063,10280
0500000US19065,20839
0500000US19067,16310
0500000US19069,10683
0500000US19071,7432
0500000US19073,9335
0500000US19075,12447
0500000US19077,10956
0500000US19079,15636
0500000US19081,11321
0500000US19083,17519
0500000US19085,14922
0500000US19087,20119
0500000US19089,9559
0500000US19091,9796
0500000US19093,7078
0500000US19095,16321
0500000US19097,19845
0500000US19099,36815
0500000US19101,16827
0500000US19103,131225
0500000US19105,20649
0500000US19107,10498
0500000US19109,15500
