geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est
0500000US42069,42,69,Lackawanna County,5387,10,PA,213931
0500000US35013,35,13,Dona Ana County,3550,4,NM,213460
0500000US37129,37,129,New Hanover County,6796,20,NC,213267
0500000US37179,37,179,Union County,4091,4,NC,212756
0500000US13151,13,151,Henry County,3348,6,GA,211128
0500000US12109,12,109,St. Johns County,5301,29,FL,209647
0500000US37071,37,71,Gaston County,3892,2,NC,209420
0500000US41029,41,29,Jackson County,5855,15,OR,208545
0500000US42125,42,125,Washington County,5026,6,PA,208206
0500000US10005,10,5,Sussex County,5334,18,DE,206649
0500000US39155,39,155,Trumbull County,4125,2,OH,206442
0500000US53073,53,73,Whatcom County,6212,17,WA,206353
0500000US17019,17,19,Champaign County,4126,61,IL,204897
0500000US06113,6,113,Yolo County,3871,32,CA,204593
0500000US01117,1,117,Shelby County,4836,4,AL,204180
0500000US48041,48,41,Brazos County,3987,16,TX,203164
0500000US04015,4,15,Mohave County,3600,3,AZ,203030
0500000US13215,13,215,Muscogee County,4243,4,GA,202824
0500000US13245,13,245,Richmond County,4293,0,GA,202003
0500000US04027,4,27,Yuma County,2845,0,AZ,201201
0500000US01125,1,125,Tuscaloosa County,3997,2,AL,200821
0500000US18039,18,39,Elkhart County,4832,5,IN,200563
0500000US27137,27,137,St. Louis County,5293,9,MN,200540
0500000US39025,39,25,Clermont County,3515,7,OH,200218
0500000US23031,23,31,York County,5434,17,ME,199431
0500000US17167,17,167,Sangamon County,5064,6,IL,199145
0500000US47187,47,187,Williamson County,6211,158,TN,198901
0500000US16027,16,27,Canyon County,3620,2,ID,198871
0500000US36007,36,7,Broome County,4286,6,NY,197534
0500000US26145,26,145,Saginaw County,4343,5,MI,196542
0500000US28047,28,47,Harrison County,4099,1,MS,196500
0500000US12019,12,19,Clay County,3594,2,FL,196399
0500000US01003,1,3,Baldwin County,4865,3,AL,195540
0500000US13117,13,117,Forsyth County,5505,4,GA,195405
0500000US22019,22,19,Calcasieu Parish,4331,1,LA,195296
0500000US55101,55,101,Racine County,3963,2,WI,195041
0500000US45015,45,15,Berkeley County,2719,0,SC,194020
0500000US12091,12,91,Okaloosa County,5024,5,FL,193811
0500000US54039,54,39,Kanawha County,5174,2,WV,191275
0500000US15001,15,1,Hawaii County,3917,4,HI,190821
0500000US45007,45,7,Anderson County,3638,3,SC,190641
0500000US17143,17,143,Peoria County,4549,5,IL,188429
0500000US13139,13,139,Hall County,3940,3,GA,187745
0500000US37025,37,25,Cabarrus County,4016,0,NC,187226
0500000US09005,9,5,Litchfield County,4780,4,CT,186924
0500000US42019,42,19,Butler County,4754,6,PA,185476
0500000US37133,37,133,Onslow County,2742,0,NC,185220
0500000US39041,39,41,Delaware County,4133,16,OH,184979
0500000US53005,53,5,Benton County,4003,3,WA,184486
0500000US26093,26,93,Livingston County,4156,7,MI,184443
0500000US47125,47,125,Montgomery County,2657,1,TN,184119
0500000US51700,51,700,Newport News city,3712,10,VA,182020
0500000US06017,6,17,El Dorado County,4229,12,CA,181737
0500000US18163,18,163,Vanderburgh County,4965,2,IN,181398
0500000US36111,36,111,Ulster County,4678,8,NY,180998
0500000US55087,55,87,Outagamie County,4880,9,WI,180345
0500000US18157,18,157,Tippecanoe County,3357,31,IN,180174
0500000US46099,46,99,Minnehaha County,5497,17,SD,179640
0500000US06089,6,89,Shasta County,4122,5,CA,178980
0500000US20177,20,177,Shawnee County,4247,2,KS,178831
0500000US37101,37,101,Johnston County,3035,2,NC,177967
