county_name,cbp_small_biz_count,crunchbase_count,state_abbv,state_name
King County,0,0,TX,Texas
Kalawao County,1,0,HI,Hawaii
Loving County,2,0,TX,Texas
McPherson County,6,0,NE,Nebraska
Borden County,6,0,TX,Texas
Issaquena County,8,0,MS,Mississippi
Blaine County,8,0,NE,Nebraska
Loup County,8,0,NE,Nebraska
Harding County,9,0,NM,New Mexico
Arthur County,10,0,NE,Nebraska
Banner County,10,0,NE,Nebraska
Petroleum County,11,0,MT,Montana
Buffalo County,11,0,SD,South Dakota
Sioux County,13,0,NE,Nebraska
Kenedy County,13,0,TX,Texas
Esmeralda County,14,0,NV,Nevada
Roberts County,14,0,TX,Texas
Golden Valley County,16,0,MT,Montana
Terrell County,16,0,TX,Texas
Taliaferro County,17,0,GA,Georgia
Kent County,17,0,TX,Texas
Clark County,18,0,ID,Idaho
Robertson County,18,0,KY,Kentucky
Treasure County,18,0,MT,Montana
Hayes County,20,0,NE,Nebraska
Slope County,20,0,ND,North Dakota
Thomas County,21,0,NE,Nebraska
Keya Paha County,21,0,NE,Nebraska
Wheeler County,21,0,NE,Nebraska
Glascock County,22,0,GA,Georgia
Baker County,23,0,GA,Georgia
Echols County,23,0,GA,Georgia
Logan County,23,0,NE,Nebraska
Mellette County,23,0,SD,South Dakota
Glasscock County,23,0,TX,Texas
Daggett County,23,0,UT,Utah
Piute County,24,0,UT,Utah
Menominee County,26,0,WI,Wisconsin
Camas County,27,0,ID,Idaho
Cottle County,27,0,TX,Texas
Foard County,27,0,TX,Texas
Motley County,27,0,TX,Texas
Garfield County,28,0,MT,Montana
Sioux County,28,0,ND,North Dakota
Webster County,29,0,GA,Georgia
Wheeler County,29,0,OR,Oregon
Yakutat City and Borough,30,0,AK,Alaska
Grant County,30,0,NE,Nebraska
Hooker County,32,0,NE,Nebraska
Crowley County,33,1,CO,Colorado
Hudspeth County,33,0,TX,Texas
Carter County,34,0,MT,Montana
Corson County,34,0,SD,South Dakota
Armstrong County,34,0,TX,Texas
Alpine County,36,0,CA,California
Kiowa County,36,0,CO,Colorado
McMullen County,36,0,TX,Texas
Clay County,37,0,GA,Georgia
Edwards County,37,0,TX,Texas
Quitman County,38,0,GA,Georgia
Kinney County,38,0,TX,Texas
Oldham County,38,0,TX,Texas
Wibaux County,39,0,MT,Montana
Prairie County,39,0,MT,Montana
Menard County,39,0,TX,Texas
Briscoe County,39,0,TX,Texas
Van Buren County,40,0,TN,Tennessee
Costilla County,42,0,CO,Colorado
Harding County,42,0,SD,South Dakota
Dickens County,42,1,TX,Texas
Elliott County,43,0,KY,Kentucky
Ziebach County,43,0,SD,South Dakota
Eureka County,44,0,NV,Nevada
Garfield County,44,0,WA,Washington
Greeley County,45,0,KS,Kansas
Rock County,45,0,NE,Nebraska
De Baca County,45,0,NM,New Mexico
Hyde County,45,0,SD,South Dakota
Sheridan County,46,0,ND,North Dakota
Sterling County,46,0,TX,Texas
Concho County,46,0,TX,Texas
Owsley County,47,0,KY,Kentucky
Mora County,47,1,NM,New Mexico
Hancock County,47,0,TN,Tennessee
Oliver County,48,0,ND,North Dakota
Stonewall County,48,0,TX,Texas
Throckmorton County,49,0,TX,Texas
Lake and Peninsula Borough,51,0,AK,Alaska
Worth County,51,0,MO,Missouri
Jackson County,51,0,SD,South Dakota
Hodgeman County,52,0,KS,Kansas
Harmon County,52,0,OK,Oklahoma
Sherman County,52,0,OR,Oregon
Jones County,52,0,SD,South Dakota
Cochran County,52,0,TX,Texas
Culberson County,52,0,TX,Texas
Dolores County,53,0,CO,Colorado
Pope County,53,0,IL,Illinois
Garden County,53,0,NE,Nebraska
Sanborn County,54,0,SD,South Dakota
Schleicher County,54,0,TX,Texas
Todd County,55,0,SD,South Dakota
Campbell County,56,0,SD,South Dakota
Jeff Davis County,56,0,TX,Texas
Aleutians East Borough,57,0,AK,Alaska
Bent County,57,0,CO,Colorado
Talbot County,57,0,GA,Georgia
Benton County,57,0,MS,Mississippi
Craig County,57,0,VA,Virginia
Cheyenne County,58,0,CO,Colorado
Schley County,58,0,GA,Georgia
Butte County,58,0,ID,Idaho
Deuel County,58,0,NE,Nebraska
Mineral County,58,0,NV,Nevada
Catron County,58,0,NM,New Mexico
Irion County,58,0,TX,Texas
Clark County,59,0,KS,Kansas
Judith Basin County,59,0,MT,Montana
McCone County,59,0,MT,Montana
Wheatland County,59,0,MT,Montana
Steele County,59,0,ND,North Dakota
Hamilton County,60,0,KS,Kansas
Stanton County,60,0,KS,Kansas
Wallace County,60,0,KS,Kansas
Jefferson County,60,1,MS,Mississippi
Delta County,60,0,TX,Texas
Collingsworth County,60,0,TX,Texas
Menifee County,61,0,KY,Kentucky
Gosper County,61,0,NE,Nebraska
Sherman County,61,0,TX,Texas
Stewart County,62,0,GA,Georgia
Keweenaw County,63,0,MI,Michigan
Bennett County,63,0,SD,South Dakota
Wirt County,63,0,WV,West Virginia
Billings County,64,0,ND,North Dakota
Moore County,64,0,TN,Tennessee
Warren County,65,0,GA,Georgia
Hardin County,65,0,IL,Illinois
Bristol Bay Borough,66,0,AK,Alaska
Calhoun County,66,0,AR,Arkansas
Mineral County,66,0,CO,Colorado
Lane County,66,0,KS,Kansas
Dundy County,66,0,NE,Nebraska
Pawnee County,66,0,NE,Nebraska
Greeley County,66,0,NE,Nebraska
Kidder County,66,0,ND,North Dakota
Shannon County,66,0,SD,South Dakota
Coke County,66,0,TX,Texas
Sierra County,67,0,CA,California
Wheeler County,67,0,GA,Georgia
Liberty County,67,0,MT,Montana
Boyd County,67,0,NE,Nebraska
Hitchcock County,67,0,NE,Nebraska
Sully County,67,1,SD,South Dakota
San Juan County,68,0,CO,Colorado
Hanson County,68,0,SD,South Dakota
Chautauqua County,69,0,KS,Kansas
Logan County,69,0,ND,North Dakota
Doddridge County,69,0,WV,West Virginia
Fisher County,70,0,TX,Texas
Hoonah-Angoon Census Area,71,0,AK,Alaska
Wade Hampton Census Area,71,1,AK,Alaska
Jackson County,71,0,CO,Colorado
Sedgwick County,71,0,CO,Colorado
Long County,71,0,GA,Georgia
Daniels County,71,0,MT,Montana
Frontier County,71,0,NE,Nebraska
Northwest Arctic Borough,72,0,AK,Alaska
Elk County,72,0,KS,Kansas
Mercer County,72,0,MO,Missouri
Meagher County,72,0,MT,Montana
Gilliam County,72,0,OR,Oregon
Faulk County,72,0,SD,South Dakota
Hancock County,73,0,GA,Georgia
Chase County,73,0,KS,Kansas
Grant County,73,0,ND,North Dakota
Cimarron County,73,0,OK,Oklahoma
Surry County,73,0,VA,Virginia
Twiggs County,74,0,GA,Georgia
Calhoun County,74,0,GA,Georgia
Powder River County,74,0,MT,Montana
Franklin County,74,0,NE,Nebraska
Pershing County,74,0,NV,Nevada
Lake County,74,0,TN,Tennessee
Hall County,74,0,TX,Texas
Hinsdale County,75,0,CO,Colorado
Cotton County,75,0,OK,Oklahoma
Miner County,75,0,SD,South Dakota
Nicholas County,76,0,KY,Kentucky
Hickman County,77,0,KY,Kentucky
McPherson County,77,0,SD,South Dakota
Tyrrell County,78,0,NC,North Carolina
Eddy County,78,0,ND,North Dakota
Lyman County,78,0,SD,South Dakota
Real County,78,0,TX,Texas
Bland County,78,0,VA,Virginia
Liberty County,79,0,FL,Florida
Trimble County,79,0,KY,Kentucky
Golden Valley County,79,0,ND,North Dakota
Haakon County,79,0,SD,South Dakota
Carlisle County,80,0,KY,Kentucky
Jerauld County,80,0,SD,South Dakota
Cleveland County,81,0,AR,Arkansas
Marion County,81,0,GA,Georgia
Schuyler County,81,0,MO,Missouri
Sherman County,81,0,NE,Nebraska
Storey County,81,0,NV,Nevada
Rich County,81,0,UT,Utah
Wayne County,81,0,UT,Utah
Treutlen County,82,0,GA,Georgia
Pickett County,82,0,TN,Tennessee
Newton County,83,0,AR,Arkansas
Comanche County,83,0,KS,Kansas
Scott County,84,0,IL,Illinois
Kearny County,84,0,KS,Kansas
Wolfe County,84,0,KY,Kentucky
Putnam County,84,0,MO,Missouri
Towner County,84,0,ND,North Dakota
Coal County,84,0,OK,Oklahoma
Dewey County,84,0,SD,South Dakota
Hardeman County,84,0,TX,Texas
Wahkiakum County,84,0,WA,Washington
Jewell County,85,0,KS,Kansas
Tensas Parish,85,0,LA,Louisiana
Lynn County,85,0,TX,Texas
Donley County,85,0,TX,Texas
Wrangell City and Borough,86,0,AK,Alaska
Wichita County,86,0,KS,Kansas
Lincoln County,86,0,KS,Kansas
Roger Mills County,86,0,OK,Oklahoma
Upton County,86,0,TX,Texas
Highland County,86,0,VA,Virginia
Lincoln County,87,0,ID,Idaho
Woodson County,87,0,KS,Kansas
Gallatin County,87,1,KY,Kentucky
Lincoln County,87,0,NV,Nevada
Greenlee County,88,0,AZ,Arizona
Oneida County,88,0,ID,Idaho
Ohio County,88,1,IN,Indiana
McCormick County,88,1,SC,South Carolina
Atkinson County,89,0,GA,Georgia
Webster County,89,0,NE,Nebraska
Hidalgo County,89,0,NM,New Mexico
Baca County,90,0,CO,Colorado
Aurora County,90,0,SD,South Dakota
Jackson County,90,0,TN,Tennessee
Dillingham Census Area,92,0,AK,Alaska
Lanier County,92,0,GA,Georgia
Wilcox County,92,0,GA,Georgia
Crane County,92,0,TX,Texas
Coosa County,93,0,AL,Alabama
Calhoun County,93,0,IL,Illinois
Niobrara County,93,0,WY,Wyoming
Lafayette County,94,0,FL,Florida
Knox County,94,3,MO,Missouri
Garfield County,94,0,NE,Nebraska
Greer County,94,0,OK,Oklahoma
Lander County,95,0,NV,Nevada
Lipscomb County,95,0,TX,Texas
Jim Hogg County,95,0,TX,Texas
Greensville County,95,0,VA,Virginia
Chattahoochee County,96,0,GA,Georgia
Edwards County,96,0,KS,Kansas
Kiowa County,96,0,KS,Kansas
Bracken County,96,0,KY,Kentucky
Jenkins County,97,0,GA,Georgia
Red Lake County,97,0,MN,Minnesota
Burke County,97,0,ND,North Dakota
Hettinger County,97,0,ND,North Dakota
Lowndes County,98,0,AL,Alabama
Pulaski County,98,0,IL,Illinois
Guadalupe County,98,0,NM,New Mexico
Benson County,98,0,ND,North Dakota
Bledsoe County,98,0,TN,Tennessee
Knox County,98,0,TX,Texas
Crosby County,98,0,TX,Texas
Clay County,98,0,WV,West Virginia
Greene County,99,0,AL,Alabama
Yukon-Koyukuk Census Area,99,0,AK,Alaska
Rush County,99,0,KS,Kansas
Martin County,99,0,TX,Texas
Lee County,100,0,KY,Kentucky
Clay County,100,0,TN,Tennessee
Crawford County,101,0,GA,Georgia
Mahnomen County,101,0,MN,Minnesota
Forest County,101,0,PA,Pennsylvania
Gallatin County,102,0,IL,Illinois
Decatur County,102,0,KS,Kansas
Jackson County,102,0,KY,Kentucky
Griggs County,102,0,ND,North Dakota
Denali Borough,103,1,AK,Alaska
Carroll County,103,0,MS,Mississippi
Harlan County,103,0,NE,Nebraska
Harper County,103,0,OK,Oklahoma
Ellis County,103,0,OK,Oklahoma
King and Queen County,103,5,VA,Virginia
Florence County,103,0,WI,Wisconsin
Rawlins County,104,0,KS,Kansas
Dixon County,104,0,NE,Nebraska
Nance County,104,0,NE,Nebraska
Douglas County,104,0,SD,South Dakota
Washington County,105,0,CO,Colorado
Sheridan County,105,0,KS,Kansas
Adams County,105,0,ND,North Dakota
Jefferson County,105,0,OK,Oklahoma
Conejos County,106,1,CO,Colorado
Glades County,106,0,FL,Florida
Cheyenne County,106,0,KS,Kansas
Union County,106,0,NM,New Mexico
Perry County,107,0,AR,Arkansas
Alexander County,107,0,IL,Illinois
Quitman County,107,0,MS,Mississippi
Stanton County,107,0,NE,Nebraska
Tyler County,107,0,WV,West Virginia
Gilpin County,108,0,CO,Colorado
Graham County,108,0,KS,Kansas
Renville County,108,0,ND,North Dakota
Potter County,108,0,SD,South Dakota
Skagway Municipality,109,0,AK,Alaska
Logan County,109,0,KS,Kansas
Houston County,109,0,TN,Tennessee
Mills County,109,0,TX,Texas
Zavala County,109,0,TX,Texas
Calhoun County,109,0,WV,West Virginia
Leslie County,110,0,KY,Kentucky
Cumberland County,110,0,KY,Kentucky
Claiborne County,110,0,MS,Mississippi
Camden County,110,0,NC,North Carolina
Stanley County,110,0,SD,South Dakota
Meigs County,110,0,TN,Tennessee
Bullock County,111,0,AL,Alabama
Lafayette County,111,0,AR,Arkansas
Montgomery County,111,0,GA,Georgia
Union County,111,0,IN,Indiana
Morton County,111,0,KS,Kansas
Granite County,111,0,MT,Montana
Baylor County,112,0,TX,Texas
Buena Vista city,112,0,VA,Virginia
Pleasants County,112,0,WV,West Virginia
Musselshell County,113,0,MT,Montana
Cameron County,113,0,PA,Pennsylvania
Aleutians West Census Area,114,0,AK,Alaska
Mineral County,114,0,MT,Montana
Clark County,114,0,SD,South Dakota
Adams County,115,1,ID,Idaho
Brown County,115,0,IL,Illinois
Sullivan County,115,0,MO,Missouri
Reagan County,115,0,TX,Texas
Goliad County,115,0,TX,Texas
Searcy County,116,0,AR,Arkansas
McIntosh County,116,0,ND,North Dakota
Carson County,116,0,TX,Texas
Essex County,116,0,VT,Vermont
Saguache County,117,3,CO,Colorado
Bear Lake County,117,0,ID,Idaho
Stark County,117,1,IL,Illinois
Owen County,117,0,KY,Kentucky
Franklin County,117,0,MS,Mississippi
Johnson County,117,0,NE,Nebraska
Heard County,118,0,GA,Georgia
Adams County,118,0,IA,Iowa
Morrill County,118,0,NE,Nebraska
Perry County,118,0,TN,Tennessee
Henderson County,119,0,IL,Illinois
Warren County,119,0,IN,Indiana
Haskell County,119,0,KS,Kansas
Trego County,119,8,KS,Kansas
Lewis County,119,0,KY,Kentucky
St. Helena Parish,119,0,LA,Louisiana
Trousdale County,119,0,TN,Tennessee
Hartley County,119,0,TX,Texas
Taylor County,120,0,GA,Georgia
Johnson County,120,0,GA,Georgia
Metcalfe County,120,0,KY,Kentucky
Choctaw County,120,0,MS,Mississippi
Gates County,120,0,NC,North Carolina
Divide County,120,0,ND,North Dakota
Lewis County,121,0,ID,Idaho
Nevada County,122,0,AR,Arkansas
Traverse County,122,0,MN,Minnesota
Greene County,122,0,MS,Mississippi
Thurston County,122,0,NE,Nebraska
Lincoln County,123,0,CO,Colorado
Sargent County,123,0,ND,North Dakota
Emmons County,123,1,ND,North Dakota
Grant County,123,0,OK,Oklahoma
La Salle County,124,0,TX,Texas
Clay County,124,0,TX,Texas
Garza County,124,0,TX,Texas
Perry County,125,0,AL,Alabama
Irwin County,125,0,GA,Georgia
Crawford County,125,0,IN,Indiana
Hancock County,125,0,KY,Kentucky
Sharkey County,125,0,MS,Mississippi
Allendale County,125,0,SC,South Carolina
Hand County,125,0,SD,South Dakota
Clinch County,126,0,GA,Georgia
East Carroll Parish,126,0,LA,Louisiana
Crockett County,126,0,TX,Texas
Lee County,127,0,AR,Arkansas
Edmonson County,127,0,KY,Kentucky
Perkins County,127,0,NE,Nebraska
Nelson County,127,5,ND,North Dakota
Bath County,127,0,VA,Virginia
Gilmer County,127,0,WV,West Virginia
Perkins County,128,0,SD,South Dakota
Decatur County,129,0,IA,Iowa
Stafford County,129,0,KS,Kansas
Fulton County,129,0,KY,Kentucky
Brown County,129,0,NE,Nebraska
Kimball County,129,0,NE,Nebraska
McHenry County,129,0,ND,North Dakota
Edmunds County,129,0,SD,South Dakota
San Augustine County,129,0,TX,Texas
Shackelford County,129,0,TX,Texas
Switzerland County,130,0,IN,Indiana
Meade County,130,0,KS,Kansas
Red River Parish,130,1,LA,Louisiana
Scotland County,130,0,MO,Missouri
Alfalfa County,130,0,OK,Oklahoma
Newton County,130,0,TX,Texas
Presidio County,130,0,TX,Texas
Putnam County,131,0,IL,Illinois
Brooks County,131,0,TX,Texas
Pendleton County,131,0,WV,West Virginia
Miller County,132,0,GA,Georgia
Randolph County,132,0,GA,Georgia
Ottawa County,132,0,KS,Kansas
Ballard County,132,0,KY,Kentucky
Gove County,133,0,KS,Kansas
Columbia County,133,0,WA,Washington
Ferry County,133,0,WA,Washington
Prince of Wales-Hyder Census Area,134,0,AK,Alaska
Haines Borough,134,0,AK,Alaska
Taylor County,134,0,IA,Iowa
Wabaunsee County,134,0,KS,Kansas
Maries County,134,0,MO,Missouri
Mason County,134,0,TX,Texas
Kimble County,134,0,TX,Texas
Phillips County,135,0,CO,Colorado
Union County,135,0,FL,Florida
Lincoln County,135,0,GA,Georgia
Stevens County,136,0,KS,Kansas
Jones County,136,0,NC,North Carolina
Holt County,137,0,MO,Missouri
Broadwater County,137,4,MT,Montana
Phillips County,137,0,MT,Montana
Vinton County,137,0,OH,Ohio
Deuel County,137,1,SD,South Dakota
Webster County,137,0,WV,West Virginia
Woodruff County,138,0,AR,Arkansas
Kemper County,138,0,MS,Mississippi
Wilkinson County,139,0,MS,Mississippi
Sutton County,139,0,TX,Texas
Morris County,140,0,KS,Kansas
Lyon County,140,0,KY,Kentucky
Dade County,140,0,MO,Missouri
Clark County,140,0,MO,Missouri
Foster County,140,0,ND,North Dakota
Montgomery County,141,0,AR,Arkansas
Charles City County,141,0,VA,Virginia
Cumberland County,142,0,VA,Virginia
Custer County,143,0,CO,Colorado
Ness County,143,0,KS,Kansas
Tillman County,143,0,OK,Oklahoma
Mitchell County,143,0,TX,Texas
Edwards County,144,0,IL,Illinois
Ringgold County,144,0,IA,Iowa
Kittson County,144,0,MN,Minnesota
Doniphan County,145,0,KS,Kansas
Bailey County,145,0,TX,Texas
Charlton County,146,0,GA,Georgia
Wayne County,146,0,IA,Iowa
Smith County,146,0,KS,Kansas
Bath County,146,0,KY,Kentucky
Haskell County,146,0,TX,Texas
Jasper County,147,0,GA,Georgia
Perry County,147,0,MS,Mississippi
Hickory County,147,0,MO,Missouri
Blaine County,147,0,MT,Montana
Stewart County,147,0,TN,Tennessee
San Saba County,147,0,TX,Texas
Chase County,148,3,NE,Nebraska
Dewey County,148,0,OK,Oklahoma
Swisher County,148,0,TX,Texas
Wilkinson County,149,0,GA,Georgia
Power County,149,3,ID,Idaho
Caldwell County,150,0,MO,Missouri
Howard County,150,0,NE,Nebraska
Polk County,150,0,NE,Nebraska
Marshall County,150,0,SD,South Dakota
Refugio County,150,0,TX,Texas
Boise County,151,0,ID,Idaho
Cleburne County,152,0,AL,Alabama
Jefferson Davis County,152,0,MS,Mississippi
Scott County,153,0,AR,Arkansas
Turner County,153,0,GA,Georgia
Garfield County,153,0,UT,Utah
Van Buren County,154,0,IA,Iowa
Osborne County,154,0,KS,Kansas
Morgan County,154,0,KY,Kentucky
Humphreys County,154,0,MS,Mississippi
LaMoure County,154,1,ND,North Dakota
Hansford County,154,0,TX,Texas
Marion County,154,0,TX,Texas
North Slope Borough,155,0,AK,Alaska
Lincoln County,155,1,AR,Arkansas
Schuyler County,155,0,IL,Illinois
Cameron Parish,155,2,LA,Louisiana
Sweet Grass County,155,0,MT,Montana
Huerfano County,156,0,CO,Colorado
Love County,156,0,OK,Oklahoma
Prairie County,157,0,AR,Arkansas
Bowman County,157,0,ND,North Dakota
Floyd County,157,0,TX,Texas
Modoc County,158,0,CA,California
Livingston County,158,0,KY,Kentucky
Rains County,158,0,TX,Texas
Dooly County,159,0,GA,Georgia
Lake of the Woods County,159,0,MN,Minnesota
Fallon County,159,1,MT,Montana
Morgan County,159,0,TN,Tennessee
Beaver County,159,0,UT,Utah
McCreary County,160,0,KY,Kentucky
Chouteau County,160,0,MT,Montana
Nowata County,160,0,OK,Oklahoma
Sullivan County,160,0,PA,Pennsylvania
Moody County,160,0,SD,South Dakota
Childress County,160,0,TX,Texas
Summers County,160,0,WV,West Virginia
Little River County,161,0,AR,Arkansas
Lake County,161,0,MI,Michigan
Daviess County,161,0,MO,Missouri
Shelby County,161,0,MO,Missouri
Fulton County,162,0,AR,Arkansas
Martin County,162,0,KY,Kentucky
Luce County,162,0,MI,Michigan
Lawrence County,162,0,MS,Mississippi
Smith County,162,0,MS,Mississippi
Shannon County,162,0,MO,Missouri
Pierce County,162,0,ND,North Dakota
Bleckley County,163,0,GA,Georgia
Ellsworth County,163,0,KS,Kansas
Green County,163,0,KY,Kentucky
McLean County,163,0,KY,Kentucky
Powell County,163,0,MT,Montana
Zapata County,163,0,TX,Texas
Duval County,163,0,TX,Texas
Terrell County,164,0,GA,Georgia
Morgan County,164,0,OH,Ohio
Okfuskee County,164,0,OK,Oklahoma
Johnson County,165,0,IL,Illinois
Crittenden County,165,0,KY,Kentucky
Amite County,165,0,MS,Mississippi
Grundy County,165,0,TN,Tennessee
Hamilton County,166,0,FL,Florida
Latimer County,166,0,OK,Oklahoma
Kingsbury County,166,0,SD,South Dakota
Franklin County,166,0,TX,Texas
Grayson County,166,0,VA,Virginia
Nome Census Area,167,0,AK,Alaska
Petersburg Census Area,167,0,AK,Alaska
Custer County,167,0,ID,Idaho
Pawnee County,167,0,KS,Kansas
Beaver County,167,0,OK,Oklahoma
Oglethorpe County,168,0,GA,Georgia
Sheridan County,168,0,NE,Nebraska
Hyde County,168,0,NC,North Carolina
Furnas County,169,0,NE,Nebraska
Graham County,169,0,NC,North Carolina
Red River County,169,0,TX,Texas
Mathews County,169,0,VA,Virginia
Davis County,170,1,IA,Iowa
Powell County,170,0,KY,Kentucky
Ontonagon County,170,0,MI,Michigan
Wilkin County,170,0,MN,Minnesota
Nuckolls County,170,0,NE,Nebraska
Winkler County,170,0,TX,Texas
Grant Parish,171,0,LA,Louisiana
Tallahatchie County,171,0,MS,Mississippi
Ozark County,171,1,MO,Missouri
Cavalier County,171,0,ND,North Dakota
Sabine County,171,0,TX,Texas
Southeast Fairbanks Census Area,172,0,AK,Alaska
Worth County,172,0,IA,Iowa
Magoffin County,172,0,KY,Kentucky
Webster County,172,0,MS,Mississippi
Pondera County,172,0,MT,Montana
Cannon County,172,0,TN,Tennessee
Hemphill County,172,0,TX,Texas
Pulaski County,173,0,GA,Georgia
Monroe County,173,0,IA,Iowa
Kearney County,173,0,NE,Nebraska
Knott County,174,0,KY,Kentucky
Tucker County,174,0,WV,West Virginia
Day County,175,0,SD,South Dakota
Richmond County,175,69,VA,Virginia
Norton County,176,0,KS,Kansas
St. Clair County,176,0,MO,Missouri
Bon Homme County,176,0,SD,South Dakota
Hamlin County,176,0,SD,South Dakota
Castro County,177,0,TX,Texas
Lunenburg County,177,0,VA,Virginia
Monroe County,177,0,WV,West Virginia
Cumberland County,178,0,IL,Illinois
Lucas County,178,0,IA,Iowa
Morrow County,178,0,OR,Oregon
Macon County,179,0,GA,Georgia
Sequatchie County,179,0,TN,Tennessee
Linn County,180,0,KS,Kansas
Caldwell Parish,180,0,LA,Louisiana
Yalobusha County,180,0,MS,Mississippi
Reynolds County,180,0,MO,Missouri
Johnston County,180,0,OK,Oklahoma
Grand Isle County,180,0,VT,Vermont
Owyhee County,181,0,ID,Idaho
Audubon County,181,0,IA,Iowa
McCook County,181,0,SD,South Dakota
Martin County,182,1,IN,Indiana
Pendleton County,182,0,KY,Kentucky
Estill County,182,0,KY,Kentucky
Valley County,182,0,NE,Nebraska
Trinity County,182,0,TX,Texas
Osceola County,183,0,IA,Iowa
Rappahannock County,183,0,VA,Virginia
Dixie County,184,0,FL,Florida
McIntosh County,184,0,GA,Georgia
Rosebud County,184,0,MT,Montana
White Pine County,184,0,NV,Nevada
Yoakum County,184,0,TX,Texas
Norman County,185,0,MN,Minnesota
Harney County,185,0,OR,Oregon
Sheridan County,186,0,MT,Montana
Brantley County,187,0,GA,Georgia
Seminole County,187,0,GA,Georgia
Fremont County,187,1,IA,Iowa
Adair County,187,0,IA,Iowa
Lewis County,187,0,MO,Missouri
Gregory County,187,0,SD,South Dakota
Emery County,187,0,UT,Utah
Hot Springs County,187,0,WY,Wyoming
Madison County,188,0,AR,Arkansas
Benton County,188,0,IN,Indiana
Clarke County,188,0,IA,Iowa
Catahoula Parish,188,0,LA,Louisiana
West Carroll Parish,188,0,LA,Louisiana
Spink County,188,0,SD,South Dakota
Juab County,188,0,UT,Utah
Clay County,189,0,AL,Alabama
Wilcox County,189,0,AL,Alabama
Telfair County,189,0,GA,Georgia
Greenwood County,189,5,KS,Kansas
Butler County,189,0,KY,Kentucky
Wells County,189,0,ND,North Dakota
Lee County,189,0,SC,South Carolina
Republic County,190,0,KS,Kansas
West Feliciana Parish,190,0,LA,Louisiana
Oscoda County,190,0,MI,Michigan
Clay County,190,0,NE,Nebraska
Pushmataha County,190,0,OK,Oklahoma
Calhoun County,191,0,FL,Florida
Scott County,191,0,KS,Kansas
Boone County,191,0,NE,Nebraska
Nemaha County,191,0,NE,Nebraska
Lake County,191,0,OR,Oregon
Union County,191,0,TN,Tennessee
Willacy County,191,0,TX,Texas
Sussex County,191,0,VA,Virginia
Clinton County,192,0,KY,Kentucky
Howard County,192,0,MO,Missouri
Dunn County,192,0,ND,North Dakota
Caribou County,193,0,ID,Idaho
Alcona County,193,0,MI,Michigan
Bollinger County,193,0,MO,Missouri
Kiowa County,193,2,OK,Oklahoma
Conecuh County,194,0,AL,Alabama
Hamilton County,194,0,IL,Illinois
Big Stone County,194,0,MN,Minnesota
Toole County,194,0,MT,Montana
Ransom County,194,0,ND,North Dakota
Lewis County,194,0,TN,Tennessee
Somervell County,194,0,TX,Texas
Hale County,195,0,AL,Alabama
Dallas County,195,0,AR,Arkansas
Baraga County,195,0,MI,Michigan
Noxubee County,195,0,MS,Mississippi
Burt County,195,0,NE,Nebraska
Pike County,196,0,IN,Indiana
San Jacinto County,196,0,TX,Texas
Skamania County,196,6,WA,Washington
Monroe County,197,0,AR,Arkansas
Wilkes County,197,0,GA,Georgia
Monroe County,197,0,MO,Missouri
Hamilton County,197,0,NY,New York
Archer County,197,1,TX,Texas
Spencer County,198,0,KY,Kentucky
Todd County,198,0,KY,Kentucky
Gentry County,198,0,MO,Missouri
Brooks County,199,1,GA,Georgia
Rooks County,199,0,KS,Kansas
Douglas County,199,0,MO,Missouri
Wayne County,199,0,TN,Tennessee
Candler County,200,0,GA,Georgia
Carter County,200,6,MO,Missouri
Clay County,200,0,NC,North Carolina
Wheeler County,200,0,TX,Texas
Sumter County,201,0,AL,Alabama
Pike County,201,0,AR,Arkansas
Perquimans County,201,0,NC,North Carolina
Dickenson County,201,0,VA,Virginia
Lincoln County,201,0,WV,West Virginia
Atchison County,202,0,MO,Missouri
Jasper County,203,0,IL,Illinois
Clearwater County,203,0,MN,Minnesota
Henry County,204,1,KY,Kentucky
Monroe County,204,0,KY,Kentucky
Montmorency County,204,1,MI,Michigan
Lac qui Parle County,204,0,MN,Minnesota
Fall River County,204,0,SD,South Dakota
Lake County,205,0,CO,Colorado
Chariton County,205,0,MO,Missouri
Ralls County,205,0,MO,Missouri
Izard County,206,0,AR,Arkansas
Teton County,206,0,MT,Montana
Parmer County,206,0,TX,Texas
Callahan County,207,0,TX,Texas
Butler County,208,0,NE,Nebraska
Thayer County,208,0,NE,Nebraska
Rolette County,208,0,ND,North Dakota
Decatur County,208,11,TN,Tennessee
Dallam County,208,0,TX,Texas
Pocahontas County,208,0,WV,West Virginia
Harrison County,209,0,MO,Missouri
Hamilton County,209,0,TX,Texas
Ritchie County,209,0,WV,West Virginia
Crenshaw County,210,0,AL,Alabama
Early County,210,0,GA,Georgia
Kingman County,210,0,KS,Kansas
Webster County,210,2,KY,Kentucky
Lincoln County,210,0,MN,Minnesota
Tunica County,210,0,MS,Mississippi
Oregon County,210,0,MO,Missouri
Polk County,210,0,TN,Tennessee
Evans County,211,0,GA,Georgia
Anderson County,211,0,KS,Kansas
Tripp County,211,0,SD,South Dakota
Marion County,212,0,AR,Arkansas
Screven County,212,0,GA,Georgia
Washington County,212,0,KS,Kansas
Madison Parish,212,0,LA,Louisiana
Washington County,213,1,AL,Alabama
Dade County,213,0,GA,Georgia
Grant County,213,0,MN,Minnesota
Crockett County,213,0,TN,Tennessee
Gilchrist County,214,0,FL,Florida
Bacon County,214,0,GA,Georgia
