county_name,cbp_small_biz_count,crunchbase_count,state_abbv,state_name
Pierce County,16553,27,WA,Washington
Morris County,16714,108,NJ,New Jersey
Jackson County,17017,59,MO,Missouri
Bronx County,17044,5,NY,New York
Johnson County,17188,113,KS,Kansas
Snohomish County,17195,21,WA,Washington
Arapahoe County,17238,248,CO,Colorado
Monroe County,17389,102,NY,New York
Worcester County,17589,176,MA,Massachusetts
Essex County,18241,222,MA,Massachusetts
Davidson County,18265,413,TN,Tennessee
Macomb County,18304,10,MI,Michigan
Tulsa County,18528,47,OK,Oklahoma
Essex County,18722,123,NJ,New Jersey
Bucks County,18907,129,PA,Pennsylvania
Monmouth County,18940,66,NJ,New Jersey
Cobb County,19106,48,GA,Georgia
Jefferson County,19200,89,KY,Kentucky
Milwaukee County,19296,63,WI,Wisconsin
Shelby County,19343,172,TN,Tennessee
New Haven County,19390,228,CT,Connecticut
Norfolk County,19543,239,MA,Massachusetts
Lake County,19567,78,IL,Illinois
Baltimore County,19742,353,MD,Maryland
Collin County,19833,192,TX,Texas
Pima County,19915,98,AZ,Arizona
Suffolk County,19982,1470,MA,Massachusetts
Ventura County,20062,104,CA,California
San Mateo County,20279,3141,CA,California
Hamilton County,20799,245,OH,Ohio
Honolulu County,21115,91,HI,Hawaii
Middlesex County,21476,171,NJ,New Jersey
Gwinnett County,21512,157,GA,Georgia
District of Columbia,21839,460,DC,District of Columbia
Contra Costa County,22286,205,CA,California
Erie County,22465,97,NY,New York
Hartford County,22542,130,CT,Connecticut
Marion County,22649,249,IN,Indiana
Denver County,22769,530,CO,Colorado
Oklahoma County,22894,55,OK,Oklahoma
Duval County,23721,61,FL,Florida
Multnomah County,25302,472,OR,Oregon
Montgomery County,25893,243,PA,Pennsylvania
Wake County,25981,465,NC,North Carolina
Montgomery County,26670,505,MD,Maryland
Pinellas County,26685,118,FL,Florida
Fairfield County,26916,308,CT,Connecticut
Franklin County,26982,212,OH,Ohio
Philadelphia County,27122,375,PA,Pennsylvania
Sacramento County,27520,119,CA,California
Mecklenburg County,28599,191,NC,North Carolina
Fairfax County,29440,550,VA,Virginia
Salt Lake County,29790,489,UT,Utah
St. Louis County,30756,344,MO,Missouri
Travis County,31008,1571,TX,Texas
Bergen County,31462,162,NJ,New Jersey
Westchester County,31613,118,NY,New York
Wayne County,31708,153,MI,Michigan
