geo_id,company_count,tot_pop,companies_per_capita
0500000US51590,1,42928,2.32948E-05
0500000US48053,1,42854,2.3335E-05
0500000US22063,3,128549,2.33374E-05
0500000US19139,1,42738,2.33984E-05
0500000US22017,6,255543,2.34794E-05
0500000US12069,7,297950,2.34939E-05
0500000US42089,4,169896,2.35438E-05
0500000US08123,6,254270,2.3597E-05
0500000US21211,1,42255,2.36658E-05
0500000US05055,1,42192,2.37012E-05
0500000US51171,1,42053,2.37795E-05
0500000US01115,2,83761,2.38775E-05
0500000US18037,1,41875,2.38806E-05
0500000US51195,1,41463,2.41179E-05
0500000US55009,6,248506,2.41443E-05
0500000US39123,1,41381,2.41657E-05
0500000US08085,1,41183,2.42819E-05
0500000US24025,6,245177,2.44721E-05
0500000US38015,2,81666,2.449E-05
0500000US36081,55,2233841,2.46213E-05
0500000US56013,1,40243,2.4849E-05
0500000US40111,1,40146,2.49091E-05
0500000US45003,4,160565,2.4912E-05
0500000US42049,7,280686,2.49389E-05
0500000US55105,4,160310,2.49517E-05
0500000US48303,7,280237,2.49789E-05
0500000US39059,1,40033,2.49794E-05
0500000US36011,2,79978,2.50069E-05
0500000US26145,5,199911,2.50111E-05
0500000US27163,6,238844,2.5121E-05
0500000US45077,3,119217,2.51642E-05
0500000US42109,1,39729,2.51705E-05
0500000US51041,8,317102,2.52285E-05
0500000US22069,1,39605,2.52493E-05
0500000US18003,9,355856,2.52911E-05
0500000US18039,5,197646,2.52978E-05
0500000US48397,2,79003,2.53155E-05
0500000US17121,1,39417,2.53698E-05
0500000US29077,7,275414,2.54163E-05
0500000US51069,2,78511,2.54741E-05
0500000US42035,1,39230,2.54907E-05
0500000US20037,1,39185,2.552E-05
0500000US22015,3,117522,2.55271E-05
0500000US22103,6,234568,2.55789E-05
0500000US53057,3,117102,2.56187E-05
0500000US29043,2,77825,2.56987E-05
0500000US36045,3,116582,2.5733E-05
0500000US36105,2,77500,2.58065E-05
0500000US17203,1,38659,2.58672E-05
0500000US25013,12,463678,2.588E-05
0500000US37085,3,115733,2.59217E-05
0500000US33005,2,77049,2.59575E-05
0500000US47047,1,38432,2.602E-05
0500000US37197,1,38425,2.60247E-05
0500000US39113,14,535059,2.61653E-05
0500000US09013,4,152781,2.61813E-05
0500000US48055,1,38141,2.62185E-05
0500000US21227,3,114172,2.62761E-05
0500000US36001,8,303833,2.63303E-05
0500000US19187,1,37915,2.63748E-05
0500000US26139,7,264055,2.65096E-05
0500000US06095,11,414305,2.65505E-05
0500000US24001,2,75021,2.66592E-05
0500000US55141,2,74793,2.67405E-05
0500000US21035,1,37281,2.68233E-05
0500000US17143,5,186311,2.68368E-05
0500000US50003,1,37089,2.69622E-05
0500000US28003,1,37088,2.69629E-05
0500000US31157,1,37072,2.69745E-05
0500000US26041,1,37065,2.69796E-05
0500000US05009,1,36918,2.70871E-05
0500000US24043,4,147558,2.7108E-05
0500000US46013,1,36627,2.73023E-05
0500000US27147,1,36545,2.73635E-05
0500000US53007,2,72735,2.74971E-05
0500000US29183,10,361602,2.76547E-05
0500000US53067,7,253087,2.76585E-05
0500000US12091,5,180728,2.76659E-05
0500000US34029,16,577603,2.77007E-05
0500000US19111,1,35857,2.78886E-05
0500000US05125,3,107532,2.78987E-05
0500000US53009,2,71515,2.79662E-05
0500000US13113,3,106945,2.80518E-05
0500000US06089,5,177291,2.82022E-05
0500000US20125,1,35390,2.82566E-05
0500000US20061,1,35212,2.83994E-05
0500000US26073,2,70334,2.84357E-05
0500000US45047,2,69703,2.86932E-05
0500000US06035,1,34805,2.87315E-05
0500000US42125,6,207875,2.88635E-05
0500000US42005,2,68839,2.90533E-05
0500000US23015,1,34399,2.90706E-05
0500000US45089,1,34358,2.91053E-05
0500000US51650,4,137381,2.91161E-05
0500000US05085,2,68634,2.91401E-05
0500000US40081,1,34301,2.91537E-05
0500000US45041,4,137088,2.91783E-05
0500000US48329,4,136975,2.92024E-05
0500000US17049,1,34234,2.92107E-05
0500000US13151,6,205265,2.92305E-05
0500000US42007,5,170567,2.9314E-05
0500000US53061,21,715470,2.93513E-05
0500000US12023,2,67597,2.95871E-05
0500000US48477,1,33782,2.96016E-05
0500000US48259,1,33700,2.96736E-05
0500000US42037,2,67268,2.97318E-05
0500000US15007,2,67226,2.97504E-05
0500000US36007,6,200272,2.99593E-05
0500000US36079,3,99713,3.00863E-05
0500000US19125,1,33234,3.00897E-05
0500000US36027,9,297577,3.02443E-05
0500000US13219,1,32984,3.03177E-05
0500000US17167,6,197822,3.03303E-05
0500000US01109,1,32957,3.03426E-05
0500000US18095,4,131642,3.03854E-05
0500000US19013,4,131221,3.04829E-05
0500000US02090,3,98314,3.05145E-05
0500000US21145,2,65539,3.05162E-05
0500000US26165,1,32730,3.0553E-05
0500000US17109,1,32609,3.06664E-05
0500000US06033,2,64771,3.0878E-05
0500000US12081,10,323435,3.09181E-05
0500000US31141,1,32324,3.09368E-05
0500000US28083,1,32307,3.0953E-05
0500000US39133,5,161386,3.09816E-05
0500000US51173,1,32163,3.10916E-05
0500000US34007,16,513607,3.11522E-05
0500000US42079,10,320795,3.11726E-05
0500000US46011,1,32003,3.12471E-05
0500000US12035,3,95928,3.12735E-05
0500000US37097,5,159771,3.12948E-05
0500000US06065,69,2203332,3.13162E-05
0500000US08101,5,159477,3.13525E-05
0500000US47143,1,31842,3.14051E-05
0500000US51143,2,63488,3.1502E-05
0500000US22053,1,31605,3.16406E-05
0500000US36091,7,219960,3.1824E-05
0500000US50005,1,31202,3.20492E-05
0500000US29167,1,31139,3.21141E-05
0500000US12101,15,465543,3.22204E-05
0500000US05033,2,62026,3.22445E-05
0500000US22001,2,61844,3.23394E-05
0500000US50021,2,61566,3.24855E-05
0500000US42019,6,184059,3.25982E-05
0500000US48339,15,459018,3.26785E-05
0500000US48067,1,30487,3.28009E-05
0500000US39093,10,301449,3.31731E-05
0500000US37077,2,60063,3.32984E-05
0500000US55123,1,29775,3.35852E-05
0500000US28099,1,29687,3.36848E-05
0500000US17075,1,29660,3.37154E-05
0500000US55027,3,88748,3.38036E-05
0500000US53053,27,795628,3.39355E-05
