geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est,land_area_sqmile,pop_density
0500000US08007,8,7,Archuleta County,490,1,CO,12194,1350.175,9.031421853
0500000US26011,26,11,Arenac County,329,0,MI,15487,363.191,42.64147515
0500000US05001,5,1,Arkansas County,525,0,AR,18777,988.77,18.99026063
0500000US51013,51,13,Arlington County,6201,126,VA,224906,25.974,8658.889659
0500000US48011,48,11,Armstrong County,34,0,TX,1949,909.109,2.143857337
0500000US42005,42,5,Armstrong County,1338,2,PA,68107,653.203,104.2662082
0500000US23003,23,3,Aroostook County,1998,3,ME,70055,6671.33,10.50090462
0500000US31005,31,5,Arthur County,10,0,NE,458,715.355,0.640241558
0500000US22005,22,5,Ascension Parish,2089,1,LA,114393,289.981,394.4844662
0500000US37009,37,9,Ashe County,514,1,NC,27151,426.135,63.71455055
0500000US55003,55,3,Ashland County,519,0,WI,16016,1045.035,15.32580249
0500000US39005,39,5,Ashland County,1024,0,OH,53043,422.95,125.4119872
0500000US05003,5,3,Ashley County,413,0,AR,21283,925.349,22.99997082
0500000US39007,39,7,Ashtabula County,1937,1,OH,99811,701.931,142.1948881
0500000US53003,53,3,Asotin County,431,0,WA,22110,636.213,34.75251213
0500000US22007,22,7,Assumption Parish,258,0,LA,23187,338.658,68.4673033
0500000US48013,48,13,Atascosa County,712,0,TX,47093,1219.544,38.61525291
0500000US29005,29,5,Atchison County,202,0,MO,5449,547.302,9.956111982
0500000US20005,20,5,Atchison County,359,0,KS,16749,431.172,38.8452868
0500000US39009,39,9,Athens County,1044,8,OH,64681,503.598,128.4377619
0500000US13003,13,3,Atkinson County,89,0,GA,8290,339.382,24.42675216
0500000US34001,34,1,Atlantic County,6476,20,NJ,275862,555.704,496.4189569
0500000US40005,40,5,Atoka County,270,0,OK,13898,975.517,14.24680451
0500000US28007,28,7,Attala County,333,0,MS,19317,734.982,26.2822763
0500000US29007,29,7,Audrain County,553,3,MO,25661,692.235,37.06978122
0500000US19009,19,9,Audubon County,181,0,IA,5873,442.961,13.25850357
0500000US39011,39,11,Auglaize County,962,0,OH,45920,401.386,114.4035916
0500000US51015,51,15,Augusta County,1405,0,VA,73912,966.999,76.43441203
0500000US46003,46,3,Aurora County,90,0,SD,2720,708.425,3.839503123
0500000US48015,48,15,Austin County,602,0,TX,28847,646.508,44.61971082
0500000US01001,1,1,Autauga County,816,0,AL,55246,594.436,92.93851651
0500000US37011,37,11,Avery County,503,0,NC,17713,247.087,71.68730042
0500000US22009,22,9,Avoyelles Parish,727,0,LA,41299,832.434,49.61234164
0500000US08009,8,9,Baca County,90,0,CO,3682,2554.967,1.441114504
0500000US13005,13,5,Bacon County,214,0,GA,11216,258.576,43.37602871
0500000US48017,48,17,Bailey County,145,0,TX,7114,826.797,8.604288598
0500000US41001,41,1,Baker County,521,0,OR,16018,3068.357,5.220383417
0500000US12003,12,3,Baker County,386,0,FL,27013,585.231,46.15784195
0500000US13007,13,7,Baker County,23,0,GA,3341,341.944,9.770605713
0500000US01003,1,3,Baldwin County,4865,3,AL,195540,1589.784,122.9978412
0500000US13009,13,9,Baldwin County,811,0,GA,46039,257.844,178.5536991
0500000US21007,21,7,Ballard County,132,0,KY,8332,246.659,33.77942828
0500000US24510,24,510,Baltimore city,12227,0,MD,622104,80.944,7685.609804
0500000US24005,24,5,Baltimore County,19742,353,MD,823015,598.302,1375.584571
0500000US45009,45,9,Bamberg County,262,3,SC,15430,393.37,39.22515698
0500000US48019,48,19,Bandera County,364,0,TX,20601,790.961,26.04553195
0500000US13011,13,11,Banks County,264,0,GA,18415,232.091,79.34387805
0500000US31007,31,7,Banner County,10,0,NE,759,746.114,1.017270819
0500000US16005,16,5,Bannock County,1951,1,ID,83249,1111.988,74.86501653
0500000US26013,26,13,Baraga County,195,0,MI,8695,898.257,9.679857769
0500000US20007,20,7,Barber County,220,0,KS,4947,1134.073,4.362153054
0500000US01005,1,5,Barbour County,463,0,AL,27076,884.876,30.59863755
0500000US54001,54,1,Barbour County,234,0,WV,16770,341.059,49.17037815
0500000US38003,38,3,Barnes County,372,0,ND,11190,1491.554,7.502242627
0500000US25001,25,1,Barnstable County,8319,19,MA,214990,393.723,546.0437922
0500000US45011,45,11,Barnwell County,352,0,SC,22119,548.393,40.33421287
0500000US21009,21,9,Barren County,863,0,KY,43027,487.541,88.25309051
0500000US55005,55,5,Barron County,1278,0,WI,45676,862.711,52.94472888
0500000US13013,13,13,Barrow County,1070,0,GA,71453,160.309,445.7204524
0500000US29009,29,9,Barry County,742,0,MO,35572,778.251,45.70761875
0500000US26015,26,15,Barry County,867,1,MI,59097,553.092,106.8484086
0500000US18005,18,5,Bartholomew County,1814,0,IN,79587,406.908,195.5896665
0500000US20009,20,9,Barton County,975,0,KS,27509,895.4,30.72258209
0500000US29011,29,11,Barton County,254,0,MO,12275,591.921,20.73756464
0500000US13015,13,15,Bartow County,1849,0,GA,101273,459.544,220.3771565
0500000US48021,48,21,Bastrop County,1134,1,TX,75825,888.15,85.37409221
0500000US29013,29,13,Bates County,340,0,MO,16550,836.689,19.78034849
0500000US51017,51,17,Bath County,127,0,VA,4616,529.158,8.723292476
0500000US21011,21,11,Bath County,146,0,KY,11961,278.792,42.90295274
0500000US05005,5,5,Baxter County,1037,0,AR,40957,554.283,73.89185669
0500000US12005,12,5,Bay County,4375,7,FL,174987,758.459,230.7138553
0500000US26017,26,17,Bay County,2242,0,MI,106832,442.302,241.5363259
0500000US55007,55,7,Bayfield County,426,0,WI,15156,1477.863,10.25534843
0500000US48023,48,23,Baylor County,112,0,TX,3614,867.482,4.166080679
0500000US46005,46,5,Beadle County,557,0,SD,18080,1258.71,14.36391226
0500000US16007,16,7,Bear Lake County,117,0,ID,5943,974.785,6.096729022
0500000US37013,37,13,Beaufort County,1083,0,NC,47464,827.192,57.37966518
0500000US45013,45,13,Beaufort County,4798,9,SC,171838,576.28,298.1849101
0500000US22011,22,11,Beauregard Parish,602,0,LA,36167,1157.342,31.250054
0500000US49001,49,1,Beaver County,159,0,UT,6459,2589.88,2.493937943
0500000US40007,40,7,Beaver County,167,0,OK,5566,1814.672,3.067220963
0500000US42007,42,7,Beaver County,3424,5,PA,170115,434.712,391.3280517
0500000US30001,30,1,Beaverhead County,344,0,MT,9341,5541.624,1.685606963
0500000US27005,27,5,Becker County,952,0,MN,33231,1315.203,25.26682193
0500000US40009,40,9,Beckham County,894,0,OK,23637,901.805,26.21076619
0500000US51515,51,515,Bedford city,315,0,VA,5948,6.878,864.7862751
0500000US42009,42,9,Bedford County,1041,1,PA,49055,1012.296,48.45914634
0500000US51019,51,19,Bedford County,1352,1,VA,69825,753.021,92.72649767
0500000US47003,47,3,Bedford County,763,0,TN,45901,473.635,96.91217921
0500000US48025,48,25,Bee County,474,0,TX,32799,880.239,37.26147103
0500000US33001,33,1,Belknap County,1762,1,NH,60179,400.232,150.360291
0500000US48027,48,27,Bell County,4861,5,TX,326843,1051.016,310.9781392
0500000US21013,21,13,Bell County,514,0,KY,27885,359,77.67409471
0500000US39013,39,13,Belmont County,1487,0,OH,69571,532.129,130.7408542
0500000US27007,27,7,Beltrami County,1145,0,MN,45670,2504.94,18.23197362
0500000US13017,13,17,Ben Hill County,318,0,GA,17515,250.121,70.02610736
0500000US16009,16,9,Benewah County,228,0,ID,9044,776.617,11.6453799
0500000US46007,46,7,Bennett County,63,0,SD,3452,1184.709,2.913795708
0500000US50003,50,3,Bennington County,1401,1,VT,36659,674.98,54.31123885
0500000US38005,38,5,Benson County,98,0,ND,6877,1388.708,4.95208496
0500000US08011,8,11,Bent County,57,0,CO,5688,1512.861,3.759763785
0500000US53005,53,5,Benton County,4003,3,WA,184486,1700.379,108.496988
0500000US05007,5,7,Benton County,5439,28,AR,237297,847.357,280.0437124
0500000US19011,19,11,Benton County,566,0,IA,25699,716.265,35.8791788
0500000US29015,29,15,Benton County,368,0,MO,18932,704.06,26.88975371
0500000US41003,41,3,Benton County,2077,13,OR,86591,675.941,128.104376
0500000US27009,27,9,Benton County,910,0,MN,39214,408.301,96.04189066
0500000US28009,28,9,Benton County,57,0,MS,8571,406.616,21.07885573
